"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\03_chunks.md", "Markdown", 0, -15670, 0, 0, -2439, -18109
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\04_metadata.json", "JSON", 0, 0, -356, 0, 0, -356
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\05_qdrant_points.json", "JSON", 0, 0, -2034037, 0, 0, -2034037
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\05_qdrant_points.md", "Markdown", 0, -21217, 0, 0, -1969, -23186
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\advanced_green_fuels_for_maritime_part_a_book\full_text.md", "Markdown", 0, -15722, 0, 0, -909, -16631
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\00_summary.json", "JSON", 0, 0, -34, 0, 0, -34
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\01_pages.md", "Markdown", 0, -108, 0, 0, -13, -121
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\02_tables.md", "Markdown", 0, -3, 0, 0, -2, -5
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\03_chunks.md", "Markdown", 0, -97, 0, 0, -30, -127
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\04_metadata.json", "JSON", 0, 0, -37, 0, 0, -37
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\05_qdrant_points.json", "JSON", 0, 0, -21742, 0, 0, -21742
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\05_qdrant_points.md", "Markdown", 0, -226, 0, 0, -25, -251
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_a2_commitment_letters\full_text.md", "Markdown", 0, -102, 0, 0, -7, -109
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\00_summary.json", "JSON", 0, 0, -41, 0, 0, -41
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\01_pages.md", "Markdown", 0, -1028, 0, 0, -97, -1125
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\02_tables.md", "Markdown", 0, -43, 0, 0, -6, -49
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\03_chunks.md", "Markdown", 0, -950, 0, 0, -156, -1106
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\04_metadata.json", "JSON", 0, 0, -79, 0, 0, -79
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\05_qdrant_points.json", "JSON", 0, 0, -136645, 0, 0, -136645
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\05_qdrant_points.md", "Markdown", 0, -1428, 0, 0, -136, -1564
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_j1_teri_wwd_2020_report\full_text.md", "Markdown", 0, -981, 0, 0, -50, -1031
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\00_summary.json", "JSON", 0, 0, -29, 0, 0, -29
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\01_pages.md", "Markdown", 0, -18, 0, 0, -3, -21
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\02_tables.md", "Markdown", 0, -3, 0, 0, -2, -5
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\03_chunks.md", "Markdown", 0, -24, 0, 0, -8, -32
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\04_metadata.json", "JSON", 0, 0, -31, 0, 0, -31
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\05_qdrant_points.json", "JSON", 0, 0, -3114, 0, 0, -3114
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\05_qdrant_points.md", "Markdown", 0, -36, 0, 0, -7, -43
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\annexure_o_map_plastic_leakage_points\full_text.md", "Markdown", 0, -17, 0, 0, -2, -19
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\00_summary.json", "JSON", 0, 0, -72, 0, 0, -72
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\01_pages.md", "Markdown", 0, -924, 0, 0, -89, -1013
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\02_tables.md", "Markdown", 0, -3, 0, 0, -2, -5
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\03_chunks.md", "Markdown", 0, -819, 0, 0, -256, -1075
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\04_metadata.json", "JSON", 0, 0, -74, 0, 0, -74
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\05_qdrant_points.json", "JSON", 0, 0, -214283, 0, 0, -214283
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\05_qdrant_points.md", "Markdown", 0, -2241, 0, 0, -211, -2452
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\bengaluru_conference_report_2020\full_text.md", "Markdown", 0, -879, 0, 0, -44, -923
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\00_summary.json", "JSON", 0, 0, -29, 0, 0, -29
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\01_pages.md", "Markdown", 0, -89, 0, 0, -3, -92
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\02_tables.md", "Markdown", 0, -3, 0, 0, -2, -5
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\03_chunks.md", "Markdown", 0, -43, 0, 0, -9, -52
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\04_metadata.json", "JSON", 0, 0, -31, 0, 0, -31
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\05_qdrant_points.json", "JSON", 0, 0, -3115, 0, 0, -3115
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\check_your_water_quality\05_qdrant_points.md", "Markdown", 0, -37, 0, 0, -7, -44
